"text","class"
"พนักงานร้านโทรศัพท์บอกว่า ลูกค้าหลายคนมากที่จองสี Natural titanium พอมาเห็นตัวจริงแล้วผิดหวังอยากยกเลิกจอง ใครยังไม่ได้จองแนะนำให้ไปดูสีจริงก่อนนะ","2"
"แบตเขาจะพอใหมน่ะครับ","2"
"ไอโฟนราคานี้ผมซื้อคอมโหดๆได้เครื่องเลยนะ5555","2"
"เล่นเกนชินได้กี่นาทีครับ😂😂😂","2"
"14promaxจะสามารถเล่นได้ไหมครับ","2"
"เล่นได้ แต่เล่นได้กี่นาทีนีอีกเรื่อง","2"
"หน้าจอไม่เปลี่ยนเลย555","2"
"แปปเดียวร้อนป่าว","2"
"IP15 กับ IP14 ต่างกันตรงไหน","2"
"ตัว Pro ถ้าชอบโทนสว่างต้อง White สวยอมตะ ตัว Natural พอตัวจริงมันธรรมดามาก ไม่โดดเด่นเลย","2"
"นี่พอใจกับสีบลูมาก พอมาเห็นสี Natural ของเพื่อนก็คือดีแล้วที่เอาบลูมา","2"
"เดี๋ยวนี้ iPhone มีอัปเดตรูป หลังถ่าย Portrait ไปแล้ว อย่างตอนแรก นางเบลอผิด หลอดถูกเบลอไปด้วย แล้วรอไปแป๊บนึง หลอดนางกลับมา !?","2"
"ตอนแรกลังเลมากระหว่าง iPhone 15 Pro Max สี Natural กับสี White เห็นแต่ในรูปก็ชอบสี Natural นะ แต่สุดท้ายเลือกสีขาวเพราะชอบสีนี้มาตลอด มันคลาสสิคดี และจากประสบการณ์คือเกลียดสี Space Gray มาก","2"
"iphone 15 pro ใช้งานเล่นโซเชี่ยลทั่วไปไม่มีอาการร้อนเลย ขนาดเปิด 5 g ก็มีอุ่นขึ้นมาบางนิดหน่อยแค่บางครั้ง แต่ก็ไม่อุ่นเท่าเหมือนตอนใช้ iphone 13 pro max แต่ถ้าเล่นเกมส์อุ่นภูมิจะขึ้นไวมาก เช่น pubg 5555 ไม่รู้ว่าปกติไหม เพราะแทบจะไม่ได้เล่นเกมส์บนมือถือเลย","2"
"ใช้ 15 pro มาเหมือนกันก็แบตอึดดี แต่อาจเพราะผมไม่เล่นเกมเลยด้วย555 ส่วนกล้องเปิดแปปเดียวก็ร้อนแล้ว","2"
"เปิดกล้องร้อนง่ายจริงครับ แต่ใช้โซเชียลมีเดียทั่วไป ไม่ร้อน","2"
"ยอมอัพมา Max เพราะฟังก์ชั่นกล้องที่ซูมไกลกว่า (5x)","2"
"รู้สึกดำของ 15 ธรรมดา สวยกว่าแหะ","2"
"เอาจริง 15 ธรรมดาก็พอละ","2"
"แบตไม่หมดไวนะคับ แต่ถ้าโทรคุยนานๆ เครื่องร้อนจิงๆ คับ","2"
"เห็นราคาบัตรแล้ว จาก pm เหลือ 15 ธรรมดาก็ได้","2"
"ตัดสินใจไม่ได้ 15 pro หรือ15 ธรรมดาดี","2"
"อยากได้ 15พลัส แต่ราคาเอาไปซื้อ 14 pro ได้เลย","2"
"15พลัส ได้แบตเยอะกว่า15 โปรแม้กอีกอะ","2"
"15พลัส ดีมุ้ย อยากได้จอใหญ่","2"
"พลัสวนกลับมากอีกครั้ง รอ 16 ออกค่อยซื้อ 15 พลัส","2"
"OK รอรุ่นใหม่ก็ได้","2"
"ใจกุมา 15plus มาดูจริงๆอยากได้ 15promax แทน","2"
"เรื่องเกมคือเรื่องจริง แต่แอปเปิลต้องลดความเขี้ยวลงบ้าง ไม่อย่างงั้นจะดึงทั้งนักพัฒนาและเกมเมอร์ให้สนใจไม่ได้เลย อย่าลืมว่าเกมบนเครื่องเล่นอื่นๆมันมีอยู่แล้ว มันย่อมเกิดการเปรียบเทียบอย่างหลีกเลี่ยงไม่ได้.","2"
"ไม่ต้องซื้อ ต่อให้เราไม่ซื้อ บริษัทเขาก็ขายดีอยู่แล้ว ไอโฟนคือมือถือที่ขายดีที่สุดในตลาดโลกอันดับ1-10ไอโฟนเหมาหมด.","2"
"เค้าทำเพื่อรองรับเกมมือถือที่จะใช้ทรัพยากรมากขึ้นในอนาคตครับ เค้าไม่ได้คิดจะมาแข่งกับเกมในคอมจริงๆหรอก","2"
"จาก คนถือ 11pro รู้สึกว่า ไม่ได้รู้สึกว่า ว้าว จนต้องเปลี่ยนเครื่องค่ะ (แต่ยอมรับว่า เขาดีจริง เพราะ 11 ที่มีก็ยังใช้ดีอยู่) รอ iphone 17 ค่ะ หวังว่าตอนนั้นจะมีอะไรให้ว้าว มากขึ้นกว่านี้","2"
"ตกลง apple ชูเรื่องเกมแต่ไม่เห็นพูดเรื่องระบายความร้อนเลย นอกจากชื่อรุ่น 14 ไป 15 บอดี้ไทเท cpu แรง นอกจากนี้มีอีกมั้ย ถ้าคนเล่นเกมมือถือคือชิปแรงจริงก็ใช่หนะสิก็มันไม่มีรุ่นย่อยมาเปรียบเทียบเหมือน android คนถ้าเอาเรือธงของ android มาเทียบก็ค่อยวัดกันได้ แล้วถ้าคนเล่นเกมมือถือหรือคอเกมจริงจะรู้ครับว่านักพัฒนาเลือกที่จะพัฒนาเกมให้ฝั่ง android ก่อน ios เพราะ ตลาด android กว้างกว่า open source กว่า เกมมือถือส่วนมากมาจากจีนหมดอย่าง tencent ที่กวาดซื้อหุ้นค่ายเกมต่างๆ มาทำเกมมือถือ ถ้าจะเล่นเกม AAA แบบ PC โห ยากครับระบบระบายความร้อนแทบไม่มี เป็นเกมมิ่งโฟนให้ได้ก่อน ผมว่ามันเว่อร์ไป ที่ apple จะบอก เป็นชัยชนะของคอเกม 555","2"
"ดูเสร็จผมนี่ตัดสินใจได้เลยว่า 15 ธรรมดา 256GB สักตัวก็พอละ ไม่ต้องไปตัว Pro ก็ได้ (แต่ก็แอบเสียดาย AOD, ProMotion, USB-C 3 ของตัว Pro อยู่นิดหน่อยเหมือนกันนะครับ","2"
"เรื่องระบายความร้อน ยังไงมันก็ต้อง ใช้พัดลมดึงช่วยครับ ถ้าเค้าทำมา ภาพลักษณ์มันคงแว้นซ์ไปทันที ดูแล้ว น่าจะมาชิมลางตลาดเกมมิ่งหน่อยเฉยๆ","2"
"ผมว่าคนที่ซื้อ iphone 15 ส่วนใหญ่ คือไม่ได้มีปัญหากับสิ่งที่ apple กัก เช่น จอ 60 hz ก็ไม่ได้มีปัญหาเพราะไม่ได้เล่นเกม แล้วก็เคยใช้แต่ 60 hz มาก่อน , usb-c ปกติใช้แต่ชาร์ต ไม่เคยใช้โอนข้อมูลเข้าคอม ก็ usb c 2 ก็พอ","2"
"การครอปทั่วๆ ไป  ความละเอียดของภาพจะลดลง   แต่Iphone กำลังเปลี่ยนวงการกล้องโดยการครอปที่ความละเอียดยังเท่าเดิม  (ผมว่าทิมฉลาดตรงนี้แหละครับ  พี่จ๋าาา) 
และการ turn การจัดเรื่องพิเซลอีก แปลกแตกแยกไปอีก  ทิมกำลังสร้างมาตรฐานกล้องให้กับตัวเอง","2"
"เรื่อง เกม ผมว่า คงหากินได้แต่เกมเล็กเกมน้อย หรือพวก ออนไลน์กดกาชา นั่นแหละครับ ถ้าจะเข้ามาในโลกตลาดเกม AAA ตอนนี้ ห่างกับคอนโซลหรือpc สุดๆ เอาง่ายๆ แค่ ps5 แถมจอย ยังถูกกว่า เครื่องต่ำสุด ของiphone 15แล้วอีกทั้งประสิทธิภาพ ของเกมเพลย์ 30fps ในมาตรฐานเกม nextgen คือ เป็นเฟรม ที่ยอมรับไม่ได้...สายเกมเมอร์ผมเห็นที่ip พอรท เกมมาลงนี่หัวเราะเลย จะมีใครเล่นเกมพวกนี่ด้วยเหรอ","2"
"15 Pro ถ้าไม่ติดเรื่องราคาแค่เล่นเกม AAA ได้นี่ผมก็ว้าวแล้วครับ ส่วนตัวโง่เรื่องกล้องไม่ได้ทำงานสายถ่ายภาพเลยไม่ว้าวและคิดว่ามันไม่จำเป็นเท่าไหร่","2"
"น่าจะอัพจอสัก 90 Hz ก็ดีนะเพราะขนาด 60 HZ ของไอโฟนยังดูลื่นกว่าของแอนดรอยด์ อาจจะเป็นเพราะชิปแรงแล้วUI ของ IOS สวยด้วย ถ้าอัพเป็นจอ 90 HZ คงจะลื่นใกล้เคียง 120HZ ของแอนดรอยด์","2"
"ผมว่ายิ่งเหมือนแอนดอร์ย ในคราบไอโฟนขึ้นนะ 15promax ซูมได้25x ผลของภาพที่ได้ออกมา มันไม่สมน้ำสมเนื้อเลยด้วยซ้ำ ถ้ามองมาที่ฝั่งSamsung23 ultra กับซูม25x เท่ากัน ฝั่งSamsung สมน้ำสมเนื้อคุ้มราคามากกว่าเงินที่ต้องเสียในค่าเงินขนาดนี้","2"
"ตอนนี้ยังกำ iphone xs ตัวเองไว้ และยังรอวันที่ iphone ตัวเริ่มต้นได้จอ 120 hz ค่อยเปลี่ยน😅","2"
"ต่างกันแบบกาสะลอง ซ้องปีป 555","2"
"Apple ใช้ไทเท เพื่อความแข็งแรง ทนทาน ตามที่เคลมไว้ ไม่ได้บอกว่าระบายความร้อนได้ดี ถ้า ไทเท ระบายความร้อนได้ดี Apple  จะเคลมว่า นี่คือiPhone ที่ระบายความร้อนได้ดีที่สุด เท่าที่เคยมีมา","2"
"รุ่นธรรมดาน่าจะขายดีกว่ารุ่นโปรนะ ชิปก็ไม่มีปัญหา","2"
"ต่างกันตรงไหน ต่างกันตรงแพงขึ้น","2"
"14 ไป 15 คงเฉยๆครับ แต่มันว้าวและดีสำหรับคนที่ใช้11 12 13 pm แล้วอยากจะเปลี่ยน","2"
"อย่าคาดหวังอะไร กับใช้มือถือเล่นเกมครับ ขนาด  คอมระดับโปร  มีการระดับความร้อนด้วยพัดลม  มีท่อระบายอากาศ  ยังเอาไม่อยู่เลยครับ","2"
"A17Pro มันร้อนน้อยกว่า A16 Bionic อยู่นะเห็นช่องนึงเทสความร้อนภายใน แต่เพราะไทเทเนียมมันเลยไม่ระบายออก สรุปคือชิพดีแต่วัสดุอมความร้อนไปหน่อย","2"
"14 ไป 15 ความคุ้มอยู่ที่คนเลยเพราะได้ usb-c แต่ถ้า 6-13 ไป 15 คุ้มแน่นอน","2"
"ความแรงมาพร้อมกับความร้อนครับ ถ้าจะเอาเย็นก็ต้องยอมไม่แรงครับ","2"
"อยากได้ type c นะ แต่ลืมไปใช้ AirPods ยังไงก็ต้องพก Lightning อยู่ดี😂","2"
"ผมฟังจบ เห็นด้วยเลย และต้องใช้มันสักพักยังจะชินกับจอ 60hz","2"
"แบบเดิมมันก็ดีอยู่แล้ว แต่มันไม่ถูกใจใครบางคนไง พอเปลี่ยนแล้วก็เลยเป็นแบบนี้  😂","2"
"วัสดุไทเทเนียม มีข้อดี คือน้ำหนักเบท แต่ข้อเสียคือ ระบายความร้อนช้า ทุกอย่างมีข้อดี ข้อด้อย นะครับ ส่วนตัว 15PM ใช้งานปกติ เฉยๆ ไม่ร้อนครับ","2"
"ที่ร้อนจัดเพราะ คนที่เล่นเกนชินสแปคสูงๆนี่แหละ ทำให้เครื่องร้อนไวขึ้น รุ่นอื่นที่เล่นเกนชิน ก็ร้อนได้เช่นกัน ทำให้ FPS ดรอปลง","2"
"เล่นเกมส์หนักๆมันร้อนทุกยี่ห้อแหละ ไปซื้อยี่ห้ออื่นสำหรับเล่นเกมส์จะเหมาะกว่านะ!!","2"
"ผมรู้สึกเฉยๆนะ ยังไงก็ได้แหละแล้วแต่ใจคน","2"
"รู้สึกเฉยๆมากเลยครับ","2"
"ใครอยากซื้อก็ปล่อยเค้าไป ส่วนใครไม่ชอบก็ไม่เห็นจะเป็นอะไร","2"
"สตีฟจอบ เน้นเทคโนโลยี ทีม คุก เน้นการตลาด","2"
"ดีไม่ดีอยู่ที่ไลฟ์สไตล์ของตัวเอง จะรีวิวเรียล ไม่เรียล ช่างแม่งเหอะ พอใจซื้อ มีเงินซื้อ จบว่ะ","2"
"ค่ายมือถือต่างๆพอเถอะกล้องมันไม่มีใครสนใจแล้วเอาจริงๆนะผมใช้มือถือเรือธงมาหลายรุ่นผมไม่รู้สึกถึงความต่างเลยในการถ่ายรูปแบบคนทั่วไปเห็นไรสวยๆชักออกมาถ่าย","2"
"จะอัพเดท 14 pro max ไป 15 pro max ดีไหม แต่ไม่มีสีที่ชอบ ข่าวลือ เห็นว่ามีสีใหม่ สีแดงเลือดหมู แต่ออกมาจริงๆไม่มี","2"
"ใช้13pro maxอยู่ แนะนำเปลี่ยนเป็น14promaxพอหรืออัพเป็น15pro maxเลยดีคะ แนะนำทีนะคะ❤","2"
"มันมีความร้อนเพราะชิบยิ่งแรงและเล่นเกมสูงได้นั้น  ความร้อนมันเกิดจากมันไม่มีระบบระความร้อน เหมือนคอม","2"
"ใช้14proอยู่ ควรเปลี่ยนไหมคะ","2"
"ถึงดูก็ไม่มีตังค์ซื้อ 555 แต่ชอบเข้ามาดูช่องนี้ตลกมาก กระชับ ฉับไว","2"
"ภายนอกไม่ต่างอะไรกับไอโฟน14","2"
"จริงๆโทรศัพท์มันควรที่จะมีหัวชาร์จ,สายหูฟังมาด้วย","2"
"ใช้ 7plus  มาหลายปีแล้ว น่าจะแปดปีแล้วมั้ง จะเอา 15 Pro Max. ยังตัดสินใจไม่ได้เลยเรา 😩","2"
"งบจำกัด ควรเอารุ่น  top14promax หรือ เอา 15plus ดีค่ะ เเนะนำหน่อยค่ะ","2"
"ใช้ 13 pro ต่อไปครับเพราะมันยังไม่พังไม่เคยจอเขียวไม่เคยเจออะไรแบบที่เขาเจอกันเลย ใช้ถนอมสุดๆครับ","2"
"14 pro ผมยังรู้สึกว่ามันยังไหวอยู่อ่ะปีนี้คงไม่เปลี่ยนยังไม่รู้สึกว่ามันจำเป็นสำหรับผม แต่ก็แล้วแต่คนที่มีกำลังซื้ออ่ะถ้าคุณพอใจกับสิ่งใหม่ๆที่Appleเค้าให้คุณแล้วมีกำลังซื้อก็จัดเลยครับ😂😂😂😂","2"
"ความแรงกับความร้อนมันของคู่กันอยู่แล้วครับ😊","2"
"แพงขึ้น แรงขึ้น งอง่ายขึ้น โอเคร้😂","2"
"ใช้ตัวธรรมดาพอ","2"